name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Forrest Woods State Nature Preserve	Nature Preserve	State Nature Preserve	State Nature Preserve	Active	Black Swamp Conservancy	Black Swamp Conservancy	Black Swamp Conservancy; ODNR DNAP		"Forrest Woods State Nature Preserve is one of the highest-quality remnants of the historic Great Black Swamp in northwest Ohio. Black Swamp Conservancy's largest owned nature preserve. Contains mature upland and floodplain forest with 39+ rare, threatened, and endangered plant and animal species. Portions dedicated as a State Nature Preserve by ODNR DNAP in 2008. Access is restricted; contact BSC. Active BSC restoration ongoing."	"County Road 73, north of Forder's Bridge, Paulding County, Ohio"	292	Paulding	Crane	Crane	41.237	-84.67	86HQ68PH+QX	Old-Growth Stand; Floodplain Forest; Upland Forest	Acreage from baseline (292 ac); alternate sources cite 193–346 ac reflecting property expansions. ODNR state designation covers portions; BSC owns full property. Visitors must contact BSC. GPS approximate — area near County Road 73 / Forder's Bridge.	https://blackswamp.org/	https://naturepreserves.ohiodnr.gov/; https://members.wetlandsofdistinction.org/woddirectory/Details/forrest-woods-state-nature-preserve-2016228		2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Canal Park	Park	Historic Park		Active	Paulding County Park District	Paulding County Park District	Buckeye Trail Association; North Country Trail Association	BTA maintains trail section through park	"Canal Park is located at the historic junction of the Miami-Erie Canal and the Wabash-Erie Canal (Junction, Ohio), on St. Rt. 111. A historical marker marks the canal junction site. The park is a primary access point for the Buckeye Trail and North Country National Scenic Trail. Eagle Scout footbridge replaced in 2023."	"St. Rt. 111, near Junction, Paulding County, Ohio"		Paulding	Harrison	Harrison	41.1283	-84.7023	86HQ47HX+83	Historic Canal Segment; Historic Marker; Bridge; Hiking Trail	Postal address city is Defiance but actual location is Paulding County at Junction. BT Defiance Section begins here (Point 1). Canal Park Trailhead AP = PAU-AP-001.	https://pauldingohparks.com/canal-park/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Cecil Bridge Park	Park	Waterfront Park		Active	Paulding County Park District	Paulding County Park District	Toledo Metroparks		"Cecil Bridge Park is located on Road 105 at the Cecil Bridge along the Maumee River in the Cecil area of Paulding County. A popular launch point for paddlers on the Maumee River Water Trail between Cecil and Defiance. Features river access, kayaking, canoeing, boating, fishing, and picnicking."	"Road 105 at the Cecil Bridge, Cecil area, Paulding County, Ohio"		Paulding	Crane	Crane	41.1969	-84.5775	86HQ5CWC+QX	Watercraft Access; Fishing Area; Picnic Area	Maumee River Water Trail access point — see PAU-AP-002.	https://pauldingohparks.com/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Five Span Park	Park	Waterfront Park		Active	Paulding County Park District	Paulding County Park District			"Five Span Park is the most utilized Paulding County Park District park. Located on the Auglaize River at the junction of State Routes 111 and 637. Named for its distinctive historic five-span bridge. Features include seasonal floating dock, boat ramp, fishing, picnic facilities, fire rings, and restrooms."	"Junction of SR 111 and SR 637, Auglaize River, Paulding County, Ohio"		Paulding	Harrison	Harrison	41.1283	-84.7023	86HQ47HX+83	Watercraft Access; Historic Bridge; Boat Ramp; Boat Dock; Fishing Area; Picnic Area; Fire Ring; Restrooms	"Postal address (19483 OH-637, Defiance 43512) uses Defiance city; actual location Paulding County."	https://pauldingohparks.com/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Flat Rock Trail Park	Park	Greenspace		Active	Paulding County Park District	Paulding County Park District			"Flat Rock Trail Park was obtained by the Paulding County Park District from the Paulding County Commissioners on July 26, 2021. Located on the east end of Johnson Road (12600 Rd. 119) along the Flat Rock Creek corridor. Includes improved parking, primitive campsites with fire rings, and hiking access."	"12600 Rd. 119, Paulding, Ohio"		Paulding	Jackson	Jackson	41.137	-84.573	86HQ4CPG+RR	Camping; Fire Ring; Hiking Trail	Park active but developing as of 2026-04-07. Adjacent to Flat Rock Creek Nature Preserve (ACRES).	https://pauldingohparks.com/flat-rock-trail-park/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
New Rochester Park	Park	Historic Park		Active	Paulding County Park District	Paulding County Park District			"New Rochester Park is located on the Maumee River at 11885 Rd. 424, Cecil, Ohio. Rests on the historic site of New Rochester, the first county seat of Paulding County. Dedicated as the first Paulding County park on Labor Day 1935. Eagle viewing area on the Maumee River bank where a pair of bald eagles has nested."	"11885 Rd. 424, Cecil, Ohio 45821"		Paulding	Crane	Crane	41.1969	-84.5775	86HQ5CWC+QX	Watercraft Access; Wildlife Observation Area; Historic Marker; Picnic Area	Also known as Rochester Park. PCPD website slug: /new-rochester/. Returned to PCPD in 2016 after ODOT use.	https://pauldingohparks.com/new-rochester/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Fort Brown Park	Park	Historic Park		Active	Paulding County Park District	Paulding County Park District			"Fort Brown Park is located at the confluence of the Big Auglaize and Little Auglaize Rivers, one mile south of Charloe on Road 171 (9597 Rd. 171, Oakwood). PCPD accepted maintenance responsibility in 2019. Features an 1812-era monument marking Fort Brown, built by General William Henry Harrison. Future small craft boat launch planned."	"9597 Rd. 171, Oakwood, Ohio"		Paulding	Brown	Brown	41.0966	-84.3892	86HQ3JW6+J8	Watercraft Access; Fishing Area; Historic Marker	Named for Colonel Brown who commanded stockade. Monument erected 1953. Future boat launch planned.	https://pauldingohparks.com/fort-brown-park/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Black Swamp Nature Center	Natural Area	Wetland		Active	Paulding County Commissioners	Paulding Soil & Water Conservation District	Paulding County Commissioners; Paulding SWCD		"Black Swamp Nature Center (BSNC) is a 51-acre county-owned natural area and nature center facility managed by the Paulding SWCD. Includes approximately 24 acres of woodland, 14 acres of wetlands, and 6 acres of meadow along Flat Rock Creek. Features a boat launch on Flat Rock Creek, trails along three ponds, the former Sugar Beet dam site, a nature center building, and parking. Formerly ODNR Paulding Ponds Wildlife Area, transferred to county in 1994."	"753 Fairground Drive, Paulding, Ohio 45879"	51	Paulding	Paulding	Jackson	41.137	-84.573	86HQ4CPG+RR	Wetland; Meadow; Watercraft Access; Hiking Trail; Pond; Dam; Nature Center; Picnic Area; Parking Lot	Also addressed as 451 McDonald Pike. Resolves baseline seeds: Paulding Ponds Wildlife Area (#10) and probable identity match for Flatrock Creek Access (#9). Paulding County Trails Project Phase 1 will connect BSNC to Lela McGuire-Jeffery Park (2027-2028).	https://pauldingswcd.org/black-swamp-nature-preserve/	https://pauldingswcd.org/; https://pauldingswcd.org/trail-guide-information/		2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Riverside Veterans Memorial Park	Park	Waterfront Park		Active	Village of Antwerp	Village of Antwerp	Toledo Metroparks		"Riverside Veterans Memorial Park (commonly Riverside Park) is located on East River Street in Antwerp, Ohio, with approximately 10 acres along the Maumee River. Features a Veterans Memorial, playground, reservable group pavilion, canoe/kayak launch on the Maumee River (Water Trail River Mile 99), Boy Scout-developed hiking trail, fishing access, restrooms, and the Holly Beach Splashpad."	"East River Street, Antwerp, Ohio 45813"	10	Paulding	Antwerp	Carryall	41.1814	-84.7352	86HQ57J7+HW	Monument; Playground; Pavilion; Grill; Watercraft Access; Hiking Trail; Fishing Area; Restrooms; Spray Park; Old-Growth Stand	Maumee River Water Trail access at River Mile 99. Holly Beach Splashpad opened 2022. See PAU-AP-003.	https://villageofantwerp.com/our-parks/	https://villageofantwerp.com/canoe-and-kayak-launch-at-riverside-park/		2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Lela McGuire-Jeffery Park	Recreation Facility	Sports Complex		Active	Village of Paulding	Village of Paulding	Paulding Ball Association		"Lela McGuire-Jeffery Park is a ball sports complex in the Village of Paulding opened May 14, 2011. Named via bequest from Lela McGuire Jeffery, developed by the Paulding Ball Association. Features four ball diamonds (one lighted), concession stand, restrooms, and handicap accessible facilities. Future trail connection to Black Swamp Nature Center planned (2027-2028)."	"Village of Paulding, Ohio 45879"		Paulding	Paulding	Jackson	41.137	-84.573	86HQ4CPG+RR	Ball Diamond; ADA Accessible; Restrooms	"Opened May 14, 2011. Paulding County Trails Project Phase 1 connection to BSNC planned 2027-2028."	https://www.villageofpaulding.com/parks-recreation			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
